Country/Region,Confirmed,Deaths,Recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
Afghanistan,36263,1269,25198,3.5,69.49,5.04
Albania,4880,144,2745,2.95,56.25,5.25
Algeria,27973,1163,18837,4.16,67.34,6.17
Andorra,907,52,803,5.73,88.53,6.48
Angola,950,41,242,4.32,25.47,16.94
Antigua and Barbuda,86,3,65,3.49,75.58,4.62
Argentina,167416,3059,72575,1.83,43.35,4.21
Armenia,37390,711,26665,1.9,71.32,2.67
Australia,15303,167,9311,1.09,60.84,1.79
Austria,20558,713,18246,3.47,88.75,3.91
Azerbaijan,30446,423,23242,1.39,76.34,1.82
Bahamas,382,11,91,2.88,23.82,12.09
Bahrain,39482,141,36110,0.36,91.46,0.39
Bangladesh,226225,2965,125683,1.31,55.56,2.36
Barbados,110,7,94,6.36,85.45,7.45
Belarus,67251,538,60492,0.8,89.95,0.89
Belgium,66428,9822,17452,14.79,26.27,56.28
Belize,48,2,26,4.17,54.17,7.69
Benin,1770,35,1036,1.98,58.53,3.38
Bhutan,99,0,86,0,86.87,0
Bolivia,71181,2647,21478,3.72,30.17,12.32
Bosnia and Herzegovina,10498,294,4930,2.8,46.96,5.96
Botswana,739,2,63,0.27,8.53,3.17
Brazil,2442375,87618,1846641,3.59,75.61,4.74
Brunei,141,3,138,2.13,97.87,2.17
Bulgaria,10621,347,5585,3.27,52.58,6.21
Burkina Faso,1100,53,926,4.82,84.18,5.72
Burma,350,6,292,1.71,83.43,2.05
Burundi,378,1,301,0.26,79.63,0.33
Cabo Verde,2328,22,1550,0.95,66.58,1.42
Cambodia,226,0,147,0,65.04,0
Cameroon,17110,391,14539,2.29,84.97,2.69
Canada,116458,8944,0,7.68,0,inf
Central African Republic,4599,59,1546,1.28,33.62,3.82
Chad,922,75,810,8.13,87.85,9.26
Chile,347923,9187,319954,2.64,91.96,2.87
China,86783,4656,78869,5.37,90.88,5.9
Colombia,257101,8777,131161,3.41,51.02,6.69
Comoros,354,7,328,1.98,92.66,2.13
Congo (Brazzaville),3200,54,829,1.69,25.91,6.51
Congo (Kinshasa),8844,208,5700,2.35,64.45,3.65
Costa Rica,15841,115,3824,0.73,24.14,3.01
Cote d'Ivoire,15655,96,10361,0.61,66.18,0.93
Croatia,4881,139,3936,2.85,80.64,3.53
Cuba,2532,87,2351,3.44,92.85,3.7
Cyprus,1060,19,852,1.79,80.38,2.23
Czechia,15516,373,11428,2.4,73.65,3.26
Denmark,13761,613,12605,4.45,91.6,4.86
Djibouti,5059,58,4977,1.15,98.38,1.17
Dominica,18,0,18,0,100,0
Dominican Republic,64156,1083,30204,1.69,47.08,3.59
Ecuador,81161,5532,34896,6.82,43,15.85
Egypt,92482,4652,34838,5.03,37.67,13.35
El Salvador,15035,408,7778,2.71,51.73,5.25
Equatorial Guinea,3071,51,842,1.66,27.42,6.06
Eritrea,265,0,191,0,72.08,0
Estonia,2034,69,1923,3.39,94.54,3.59
Eswatini,2316,34,1025,1.47,44.26,3.32
Ethiopia,14547,228,6386,1.57,43.9,3.57
Fiji,27,0,18,0,66.67,0
Finland,7398,329,6920,4.45,93.54,4.75
France,220352,30212,81212,13.71,36.86,37.2
Gabon,7189,49,4682,0.68,65.13,1.05
Gambia,326,8,66,2.45,20.25,12.12
Georgia,1137,16,922,1.41,81.09,1.74
Germany,207112,9125,190314,4.41,91.89,4.79
Ghana,33624,168,29801,0.5,88.63,0.56
Greece,4227,202,1374,4.78,32.51,14.7
Greenland,14,0,13,0,92.86,0
Grenada,23,0,23,0,100,0
Guatemala,45309,1761,32455,3.89,71.63,5.43
Guinea,7055,45,6257,0.64,88.69,0.72
Guinea-Bissau,1954,26,803,1.33,41.1,3.24
Guyana,389,20,181,5.14,46.53,11.05
Haiti,7340,158,4365,2.15,59.47,3.62
Holy See,12,0,12,0,100,0
Honduras,39741,1166,5039,2.93,12.68,23.14
Hungary,4448,596,3329,13.4,74.84,17.9
Iceland,1854,10,1823,0.54,98.33,0.55
India,1480073,33408,951166,2.26,64.26,3.51
Indonesia,100303,4838,58173,4.82,58,8.32
Iran,293606,15912,255144,5.42,86.9,6.24
Iraq,112585,4458,77144,3.96,68.52,5.78
Ireland,25892,1764,23364,6.81,90.24,7.55
Israel,63985,474,27133,0.74,42.41,1.75
Italy,246286,35112,198593,14.26,80.64,17.68
Jamaica,853,10,714,1.17,83.7,1.4
Japan,31142,998,21970,3.2,70.55,4.54
Jordan,1176,11,1041,0.94,88.52,1.06
Kazakhstan,84648,585,54404,0.69,64.27,1.08
Kenya,17975,285,7833,1.59,43.58,3.64
Kosovo,7413,185,4027,2.5,54.32,4.59
Kuwait,64379,438,55057,0.68,85.52,0.8
Kyrgyzstan,33296,1301,21205,3.91,63.69,6.14
Laos,20,0,19,0,95,0
Latvia,1219,31,1045,2.54,85.73,2.97
Lebanon,3882,51,1709,1.31,44.02,2.98
Lesotho,505,12,128,2.38,25.35,9.38
Liberia,1167,72,646,6.17,55.36,11.15
Libya,2827,64,577,2.26,20.41,11.09
Liechtenstein,86,1,81,1.16,94.19,1.23
Lithuania,2019,80,1620,3.96,80.24,4.94
Luxembourg,6321,112,4825,1.77,76.33,2.32
Madagascar,9690,91,6260,0.94,64.6,1.45
Malawi,3664,99,1645,2.7,44.9,6.02
Malaysia,8904,124,8601,1.39,96.6,1.44
Maldives,3369,15,2547,0.45,75.6,0.59
Mali,2513,124,1913,4.93,76.12,6.48
Malta,701,9,665,1.28,94.86,1.35
Mauritania,6208,156,4653,2.51,74.95,3.35
Mauritius,344,10,332,2.91,96.51,3.01
Mexico,395489,44022,303810,11.13,76.82,14.49
Moldova,23154,748,16154,3.23,69.77,4.63
Monaco,116,4,104,3.45,89.66,3.85
Mongolia,289,0,222,0,76.82,0
Montenegro,2893,45,809,1.56,27.96,5.56
Morocco,20887,316,16553,1.51,79.25,1.91
Mozambique,1701,11,0,0.65,0,inf
Namibia,1843,8,101,0.43,5.48,7.92
Nepal,18752,48,13754,0.26,73.35,0.35
Netherlands,53413,6160,189,11.53,0.35,3259.26
New Zealand,1557,22,1514,1.41,97.24,1.45
Nicaragua,3439,108,2492,3.14,72.46,4.33
Niger,1132,69,1027,6.1,90.72,6.72
Nigeria,41180,860,18203,2.09,44.2,4.72
